NullSectorTask27.TopologicalFibreTriv.homeo :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFibreTriv.homeo_fst :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameFamily :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameFamily.continuous_fibreBase :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameFamily.continuous_frameBase :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameFamily.frameAction_free_transitive :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameFamily.toOrdinaryTransitionSystem :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameTriv :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameTriv.homeo :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.TopologicalFrameTriv.homeo_fst :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.compatibleFrameTrivOfFibreTriv_atlas :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.continuousOn_fibre_transition :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.continuousOn_frame_transition :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.continuous_frame_transition :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.continuous_transitionOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.existsUnique_frameRAct :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.exists_continuous_global_frameSection :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.exists_nonequivariant_frame_bijection :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.fibreTrivEquivCompatibleFrameTriv :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.fibreTrivOfCompatibleFrameTriv :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.frameEquivOfIsom_reconIso :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.frameRAct :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.frameTrivAt_transitionOn :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.isOpen_sigmaTop_fibre :: [Classical.choice, Quot.sound, propext]
NullSectorTask27.reconIso :: [Classical.choice, Quot.sound, propext]
